State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
Andhra Pradesh,Guntur,Rice,Zaid,November,2.84,107,40,83,Loamy,1150,32.0,34.46
West Bengal,Darjeeling,Rice,Kharif,April,3.59,191,69,49,Clay,557,29.2,32.99
Tamil Nadu,Thanjavur,Corn,Rabi,May,2.72,150,50,27,Loamy,504,28.4,24.15
Andhra Pradesh,Guntur,Cotton,Kharif,August,3.5,98,50,20,Clay,1047,33.4,27.15
Andhra Pradesh,Guntur,Wheat,Rabi,November,7.12,170,62,25,Sandy,554,29.5,34.5
Andhra Pradesh,Kurnool,Tomato,Zaid,January,2.08,53,67,88,Sandy,467,26.9,141.07
West Bengal,Howrah,Sugarcane,Rabi,October,8.38,128,71,21,Loamy,605,24.3,301.08
Andhra Pradesh,Kurnool,Sugarcane,Rabi,May,5.15,73,55,35,Loamy,416,30.0,207.19
Maharashtra,Pune,Wheat,Annual,May,8.92,63,87,20,Clay,843,30.8,21.5
Punjab,Ludhiana,Sugarcane,Kharif,March,8.87,107,34,72,Black,725,22.5,260.64
Andhra Pradesh,Nellore,Wheat,Zaid,October,1.22,113,72,89,Clay,770,31.3,34.52
Uttar Pradesh,Kanpur,Corn,Annual,January,5.83,193,41,45,Red,587,21.8,33.0
Andhra Pradesh,Kurnool,Corn,Rabi,August,7.77,92,75,92,Loamy,1030,23.9,32.46
Punjab,Ludhiana,Sugarcane,Kharif,August,6.65,169,69,84,Clay,893,32.7,426.47
Karnataka,Mysore,Corn,Annual,June,5.06,106,32,43,Loamy,715,34.2,20.53
Punjab,Amritsar,Wheat,Annual,March,5.68,155,77,80,Clay,909,20.1,33.37
Maharashtra,Nashik,Tomato,Zaid,August,5.17,100,64,23,Loamy,539,27.9,123.48
Maharashtra,Pune,Corn,Zaid,January,2.16,166,92,49,Sandy,675,21.1,29.0
Andhra Pradesh,Guntur,Rice,Annual,April,5.31,76,79,75,Red,870,28.2,25.62
Punjab,Patiala,Cotton,Rabi,March,6.52,154,74,21,Sandy,1148,26.0,38.94
Tamil Nadu,Salem,Rice,Kharif,June,9.72,57,70,32,Sandy,1051,33.6,28.4
Tamil Nadu,Salem,Tomato,Kharif,April,1.86,153,66,49,Clay,982,31.5,203.06
West Bengal,Kolkata,Cotton,Annual,July,3.26,163,98,69,Black,886,23.0,39.01
Andhra Pradesh,Kurnool,Tomato,Rabi,November,7.62,77,56,100,Red,769,25.2,191.36
Tamil Nadu,Salem,Sugarcane,Zaid,July,5.39,140,37,30,Loamy,408,26.1,254.71
West Bengal,Howrah,Rice,Kharif,October,2.8,156,47,100,Loamy,971,23.3,35.77
West Bengal,Darjeeling,Rice,Zaid,March,3.75,51,71,81,Loamy,764,30.0,26.35
Uttar Pradesh,Lucknow,Rice,Annual,June,5.65,134,65,59,Clay,949,20.5,27.03
Maharashtra,Nashik,Rice,Rabi,June,3.05,192,93,69,Sandy,934,25.3,35.45
Uttar Pradesh,Varanasi,Cotton,Annual,October,8.46,178,56,69,Red,447,21.0,36.95
Tamil Nadu,Salem,Cotton,Zaid,May,1.48,137,79,98,Red,461,20.2,40.58
Punjab,Ludhiana,Cotton,Annual,May,5.69,52,44,89,Red,964,21.9,30.55
Maharashtra,Nagpur,Rice,Kharif,May,9.53,71,45,85,Black,674,30.5,33.34
Tamil Nadu,Salem,Cotton,Kharif,April,2.91,159,89,100,Red,452,23.0,43.38
Maharashtra,Pune,Sugarcane,Zaid,June,3.91,67,41,25,Red,922,22.9,176.06
Uttar Pradesh,Kanpur,Rice,Annual,September,2.27,64,65,86,Loamy,1084,24.5,29.56
Uttar Pradesh,Varanasi,Sugarcane,Annual,November,4.83,162,69,40,Black,709,28.2,299.9
Andhra Pradesh,Kurnool,Cotton,Annual,June,6.97,107,59,44,Red,424,31.6,22.33
Punjab,Amritsar,Rice,Rabi,June,8.57,58,61,63,Sandy,581,21.6,28.51
Uttar Pradesh,Lucknow,Cotton,Rabi,August,6.76,95,32,85,Loamy,1022,23.7,34.24
Uttar Pradesh,Varanasi,Tomato,Zaid,April,5.92,89,62,52,Clay,921,33.5,140.81
Karnataka,Mandya,Cotton,Kharif,May,9.84,149,44,76,Black,701,32.5,39.03
West Bengal,Howrah,Sugarcane,Kharif,December,3.12,61,40,85,Sandy,652,23.1,208.02
Andhra Pradesh,Kurnool,Tomato,Kharif,November,9.81,50,71,29,Black,1141,33.0,150.28
Andhra Pradesh,Nellore,Sugarcane,Rabi,August,8.82,94,63,77,Black,913,30.8,340.98
Tamil Nadu,Thanjavur,Corn,Annual,January,4.5,135,43,55,Red,967,28.5,28.41
Karnataka,Mandya,Corn,Rabi,November,9.57,62,56,20,Loamy,1065,28.3,21.75
Punjab,Amritsar,Corn,Kharif,September,4.46,74,67,38,Clay,642,31.5,21.44
West Bengal,Howrah,Sugarcane,Zaid,July,5.48,194,83,65,Loamy,626,25.0,336.09
Karnataka,Belgaum,Rice,Zaid,July,1.06,114,96,23,Black,865,23.5,33.37
Karnataka,Mandya,Cotton,Zaid,September,4.48,125,59,94,Black,860,23.3,31.03
West Bengal,Darjeeling,Corn,Kharif,October,3.87,96,73,64,Sandy,1073,25.5,27.31
Maharashtra,Pune,Sugarcane,Annual,November,1.19,72,44,48,Clay,566,27.0,212.64
Andhra Pradesh,Kurnool,Cotton,Kharif,June,3.68,132,74,93,Loamy,419,24.3,40.1
West Bengal,Howrah,Sugarcane,Rabi,June,8.63,70,96,77,Sandy,1167,28.6,392.95
Tamil Nadu,Thanjavur,Corn,Annual,July,6.94,101,58,50,Loamy,874,20.9,32.5
Uttar Pradesh,Lucknow,Corn,Kharif,February,2.24,197,46,64,Sandy,493,29.6,31.56
Punjab,Patiala,Cotton,Zaid,April,6.0,67,95,23,Black,520,29.5,22.96
Punjab,Patiala,Wheat,Rabi,November,9.92,160,73,21,Red,869,24.9,33.8
West Bengal,Howrah,Tomato,Kharif,September,1.08,66,74,93,Black,769,28.4,139.46
Tamil Nadu,Madurai,Wheat,Annual,January,3.63,167,46,88,Clay,995,33.9,31.73
Karnataka,Mysore,Corn,Rabi,September,8.39,142,36,81,Clay,781,25.3,29.9
West Bengal,Howrah,Tomato,Annual,September,4.65,177,93,27,Sandy,1022,34.1,262.07
West Bengal,Darjeeling,Cotton,Zaid,June,3.22,184,100,28,Loamy,601,20.3,32.08
Andhra Pradesh,Kurnool,Corn,Annual,October,4.8,58,50,46,Black,459,24.6,20.77
Maharashtra,Nashik,Wheat,Annual,July,5.3,171,43,77,Loamy,855,30.9,39.9
Karnataka,Mandya,Wheat,Kharif,May,6.8,128,36,87,Loamy,842,30.4,36.54
Tamil Nadu,Salem,Rice,Annual,March,1.99,53,97,63,Black,973,31.7,24.12
Uttar Pradesh,Varanasi,Sugarcane,Kharif,July,3.29,89,55,46,Clay,1058,28.4,232.24
Punjab,Ludhiana,Wheat,Kharif,February,5.35,159,85,84,Black,998,25.3,41.42
Maharashtra,Pune,Rice,Kharif,June,7.47,123,56,90,Red,1191,28.6,33.65
Tamil Nadu,Madurai,Tomato,Zaid,March,3.02,101,61,89,Red,939,23.3,185.42
Maharashtra,Nashik,Wheat,Kharif,June,6.41,86,65,60,Red,539,34.6,26.25
Maharashtra,Nashik,Rice,Rabi,July,7.82,162,37,68,Black,1014,20.0,39.79
Tamil Nadu,Salem,Corn,Kharif,February,8.33,189,44,95,Black,836,24.3,44.54
Maharashtra,Nashik,Tomato,Kharif,September,4.03,90,87,20,Black,1180,22.8,139.26
Karnataka,Belgaum,Corn,Rabi,April,1.56,170,54,55,Clay,1176,26.7,31.78
Andhra Pradesh,Guntur,Corn,Kharif,July,2.68,169,48,29,Clay,667,24.8,33.96
West Bengal,Howrah,Wheat,Rabi,February,7.82,66,61,98,Red,422,31.3,30.97
Karnataka,Belgaum,Sugarcane,Rabi,April,7.87,140,56,99,Loamy,848,34.0,416.72
Uttar Pradesh,Varanasi,Cotton,Zaid,July,7.1,104,82,65,Black,1018,33.2,31.11
Maharashtra,Nagpur,Tomato,Rabi,May,2.8,71,71,63,Black,1013,28.2,185.02
Punjab,Patiala,Tomato,Zaid,October,1.12,94,46,50,Red,1008,32.8,123.93
Tamil Nadu,Salem,Sugarcane,Rabi,November,3.89,197,46,26,Loamy,1031,20.2,372.97
Andhra Pradesh,Kurnool,Cotton,Annual,August,9.67,79,33,28,Clay,1158,32.9,22.25
Karnataka,Mysore,Wheat,Annual,January,6.6,185,41,84,Sandy,725,32.8,34.04
Karnataka,Belgaum,Tomato,Rabi,June,8.08,117,98,100,Sandy,406,24.7,229.4
West Bengal,Kolkata,Wheat,Annual,August,5.52,154,71,85,Sandy,1125,26.4,36.95
West Bengal,Howrah,Tomato,Kharif,March,4.06,82,69,78,Loamy,619,31.9,177.47
Maharashtra,Nagpur,Cotton,Kharif,June,4.2,196,87,64,Red,1188,32.1,40.32
West Bengal,Howrah,Rice,Zaid,July,3.63,150,72,26,Black,681,21.6,30.07
Karnataka,Belgaum,Rice,Kharif,October,5.15,60,36,29,Clay,946,21.4,16.48
Maharashtra,Nashik,Tomato,Rabi,September,9.2,198,77,29,Black,459,22.2,266.13
West Bengal,Kolkata,Corn,Rabi,January,3.28,164,68,41,Sandy,992,22.2,31.82
Uttar Pradesh,Varanasi,Cotton,Annual,February,3.28,74,63,53,Sandy,476,20.7,25.07
West Bengal,Darjeeling,Tomato,Annual,May,9.88,111,73,52,Loamy,783,35.0,204.57
Maharashtra,Pune,Corn,Rabi,August,6.09,170,98,97,Loamy,768,33.7,39.31
Andhra Pradesh,Guntur,Wheat,Rabi,October,7.52,88,42,67,Black,550,29.3,27.78
Andhra Pradesh,Kurnool,Corn,Annual,August,5.42,81,72,62,Clay,1023,23.8,25.33
Tamil Nadu,Madurai,Sugarcane,Rabi,July,9.3,87,42,35,Clay,945,21.6,279.19
Maharashtra,Nagpur,Tomato,Annual,October,2.35,194,65,84,Sandy,613,26.1,211.38
Tamil Nadu,Thanjavur,Corn,Annual,August,7.42,107,97,34,Sandy,1061,21.9,26.68
Punjab,Amritsar,Corn,Annual,July,8.85,57,96,35,Black,652,25.0,22.76
Tamil Nadu,Salem,Rice,Annual,November,8.4,191,33,27,Sandy,934,28.7,39.83
Punjab,Patiala,Tomato,Zaid,April,1.67,72,40,71,Loamy,712,28.8,144.23
Karnataka,Mysore,Sugarcane,Zaid,September,7.03,153,55,35,Black,1189,31.4,309.11
Maharashtra,Nashik,Sugarcane,Annual,August,3.91,184,50,89,Black,429,23.3,370.96
West Bengal,Darjeeling,Sugarcane,Zaid,June,5.42,121,94,36,Red,958,34.4,279.19
West Bengal,Darjeeling,Tomato,Annual,January,6.49,114,37,92,Sandy,663,30.7,214.81
Karnataka,Belgaum,Rice,Rabi,February,2.95,50,97,31,Clay,1114,22.3,20.77
Andhra Pradesh,Guntur,Cotton,Kharif,January,6.5,120,88,79,Clay,426,29.0,30.1
Tamil Nadu,Salem,Wheat,Annual,November,3.86,63,94,36,Loamy,617,23.3,26.29
Maharashtra,Nashik,Corn,Kharif,July,4.47,126,36,71,Black,885,31.8,27.82
Andhra Pradesh,Kurnool,Cotton,Zaid,November,4.54,153,34,54,Loamy,670,33.0,33.31
Karnataka,Mandya,Sugarcane,Zaid,March,4.53,151,48,46,Clay,957,34.9,274.6
Uttar Pradesh,Lucknow,Cotton,Annual,August,1.16,187,82,87,Sandy,922,27.7,37.96
Punjab,Ludhiana,Tomato,Annual,September,9.11,74,86,65,Loamy,492,22.6,208.96
Tamil Nadu,Salem,Rice,Rabi,April,2.81,155,59,94,Sandy,1100,28.8,43.12
West Bengal,Howrah,Cotton,Kharif,April,6.66,136,68,93,Sandy,920,20.4,32.99
Karnataka,Mysore,Corn,Rabi,July,1.46,74,64,60,Red,830,21.7,25.27
Uttar Pradesh,Lucknow,Cotton,Zaid,August,7.44,178,95,43,Black,546,21.2,31.22
Andhra Pradesh,Guntur,Wheat,Rabi,May,5.98,187,33,50,Red,840,21.2,29.86
Andhra Pradesh,Nellore,Corn,Annual,April,1.46,166,76,71,Loamy,915,34.4,34.79
Andhra Pradesh,Nellore,Wheat,Kharif,August,8.0,88,67,65,Sandy,619,23.6,26.96
West Bengal,Darjeeling,Rice,Zaid,April,2.9,59,41,34,Clay,924,32.4,18.07
Karnataka,Mysore,Sugarcane,Annual,March,7.63,54,91,20,Red,981,28.3,289.13
West Bengal,Howrah,Tomato,Kharif,November,9.0,93,68,85,Clay,948,20.4,205.15
Andhra Pradesh,Nellore,Corn,Zaid,May,2.23,75,34,26,Red,1029,30.8,18.15
Maharashtra,Pune,Wheat,Annual,July,9.77,196,74,51,Black,946,34.1,44.86
Karnataka,Mandya,Corn,Zaid,June,7.74,124,46,100,Sandy,418,29.6,29.21
West Bengal,Darjeeling,Tomato,Rabi,March,1.09,178,90,31,Loamy,986,33.2,204.26
Karnataka,Mandya,Wheat,Annual,September,4.52,71,35,74,Sandy,623,22.2,22.85
Andhra Pradesh,Kurnool,Tomato,Zaid,April,5.34,123,52,49,Loamy,1030,29.7,198.68
Uttar Pradesh,Lucknow,Tomato,Rabi,August,4.77,163,47,31,Clay,787,31.4,215.71
Uttar Pradesh,Varanasi,Tomato,Kharif,October,6.04,123,59,71,Sandy,756,22.3,178.82
Uttar Pradesh,Kanpur,Tomato,Kharif,September,1.86,81,80,97,Clay,867,20.5,202.59
Andhra Pradesh,Nellore,Sugarcane,Zaid,December,2.87,105,37,36,Clay,842,32.8,212.31
Karnataka,Belgaum,Cotton,Zaid,January,2.68,185,45,54,Black,712,26.1,31.25
Maharashtra,Pune,Wheat,Zaid,November,4.14,192,96,20,Black,1045,25.2,37.11
Andhra Pradesh,Nellore,Rice,Rabi,December,3.99,54,83,45,Red,444,22.9,26.42
Punjab,Ludhiana,Corn,Zaid,December,7.1,128,70,68,Sandy,725,27.6,35.42
Uttar Pradesh,Kanpur,Tomato,Annual,September,9.15,73,51,61,Clay,430,27.0,137.21
Maharashtra,Nashik,Cotton,Kharif,September,3.99,135,80,70,Sandy,586,27.3,30.16
Karnataka,Belgaum,Corn,Annual,November,5.66,134,98,79,Clay,1037,30.0,46.6
Andhra Pradesh,Nellore,Sugarcane,Kharif,March,2.93,199,73,87,Black,435,32.6,435.15
Maharashtra,Pune,Sugarcane,Kharif,July,4.7,195,53,87,Black,419,25.4,425.43
Maharashtra,Pune,Sugarcane,Annual,January,1.2,148,78,72,Sandy,899,28.1,409.51
Punjab,Patiala,Cotton,Zaid,December,8.24,86,34,83,Clay,509,23.9,22.21
Tamil Nadu,Thanjavur,Sugarcane,Kharif,April,4.37,109,93,30,Clay,410,31.2,324.55
Tamil Nadu,Salem,Corn,Annual,April,9.31,141,98,56,Red,479,32.5,38.35
Karnataka,Mandya,Wheat,Kharif,April,2.7,176,99,90,Loamy,1063,26.0,49.94
Punjab,Patiala,Corn,Kharif,October,9.96,81,45,85,Red,1115,25.1,31.77
Tamil Nadu,Madurai,Wheat,Annual,January,5.14,95,54,25,Black,459,21.1,20.81
Andhra Pradesh,Nellore,Wheat,Annual,August,6.19,173,91,69,Red,1075,34.9,39.87
Karnataka,Mandya,Sugarcane,Kharif,June,3.52,130,46,50,Red,770,32.3,231.13
Uttar Pradesh,Kanpur,Wheat,Rabi,December,1.83,83,77,57,Loamy,932,26.7,29.5
Punjab,Ludhiana,Tomato,Rabi,August,4.22,197,36,83,Clay,483,22.3,189.9
Punjab,Amritsar,Rice,Rabi,September,3.98,101,62,47,Loamy,525,24.7,22.55
Andhra Pradesh,Kurnool,Corn,Zaid,August,2.9,144,73,81,Sandy,470,21.8,36.66
Punjab,Amritsar,Sugarcane,Kharif,February,4.53,67,46,77,Red,776,21.5,205.36
West Bengal,Kolkata,Tomato,Rabi,August,1.38,101,84,91,Clay,456,29.6,177.57
Karnataka,Mandya,Tomato,Zaid,May,7.49,198,78,91,Clay,671,20.2,251.23
Maharashtra,Nashik,Corn,Rabi,February,6.44,147,36,28,Clay,840,23.6,30.61
Karnataka,Belgaum,Corn,Rabi,February,6.68,109,69,51,Loamy,741,31.0,30.63
Karnataka,Mysore,Corn,Rabi,August,3.83,182,41,24,Loamy,774,32.3,26.97
Andhra Pradesh,Nellore,Sugarcane,Rabi,March,5.91,157,97,81,Loamy,831,20.3,466.2
Karnataka,Belgaum,Wheat,Rabi,September,8.33,174,33,84,Red,417,31.3,31.49
West Bengal,Howrah,Cotton,Kharif,February,7.67,146,71,95,Red,642,34.8,34.05
Uttar Pradesh,Varanasi,Sugarcane,Kharif,December,5.63,172,93,56,Sandy,980,25.9,360.74
Karnataka,Belgaum,Cotton,Annual,September,5.99,159,31,21,Sandy,1092,26.2,34.06
Uttar Pradesh,Kanpur,Corn,Rabi,January,9.71,196,66,92,Sandy,1077,33.7,48.83
Uttar Pradesh,Lucknow,Cotton,Annual,December,4.61,198,98,60,Loamy,540,24.3,47.34
West Bengal,Darjeeling,Corn,Zaid,May,4.71,107,39,70,Sandy,1108,24.2,24.11
Maharashtra,Nashik,Rice,Rabi,March,9.12,183,49,26,Black,480,26.8,35.57
West Bengal,Howrah,Corn,Rabi,October,9.84,111,55,29,Loamy,642,29.6,27.13
Andhra Pradesh,Nellore,Corn,Zaid,July,6.15,180,33,87,Sandy,806,20.9,32.11
Karnataka,Mandya,Rice,Rabi,March,2.15,171,81,20,Loamy,1160,32.8,27.34
Punjab,Amritsar,Rice,Annual,October,5.94,133,66,40,Black,844,28.7,32.14
West Bengal,Howrah,Rice,Rabi,September,4.21,53,97,95,Red,988,32.2,34.4
Andhra Pradesh,Nellore,Wheat,Kharif,December,2.95,154,59,65,Sandy,538,34.1,36.08
Uttar Pradesh,Lucknow,Sugarcane,Kharif,February,5.9,59,39,39,Sandy,862,30.3,210.32
Uttar Pradesh,Kanpur,Rice,Kharif,January,2.85,104,95,37,Sandy,923,22.4,29.56
Punjab,Ludhiana,Corn,Annual,July,6.38,141,71,75,Sandy,504,29.0,36.97
Tamil Nadu,Thanjavur,Tomato,Zaid,February,2.41,169,42,28,Sandy,1055,24.7,162.84
West Bengal,Darjeeling,Sugarcane,Annual,June,7.17,162,64,94,Black,698,32.3,415.09
Tamil Nadu,Madurai,Wheat,Zaid,September,4.31,103,52,53,Red,665,29.9,25.47
Punjab,Amritsar,Cotton,Rabi,September,1.32,142,69,91,Loamy,446,28.6,31.38
Punjab,Ludhiana,Wheat,Zaid,August,2.47,173,39,28,Black,994,34.9,35.74
West Bengal,Kolkata,Cotton,Zaid,January,5.07,146,43,40,Clay,493,20.2,29.79
Karnataka,Mysore,Sugarcane,Annual,May,3.9,58,60,66,Loamy,1044,27.8,262.19
Uttar Pradesh,Kanpur,Corn,Annual,August,5.56,61,42,23,Black,565,33.7,18.76
Uttar Pradesh,Kanpur,Corn,Zaid,July,5.37,133,39,73,Clay,854,34.4,35.61
Punjab,Amritsar,Tomato,Kharif,April,7.16,191,71,37,Clay,1181,24.9,227.84
Andhra Pradesh,Nellore,Wheat,Annual,January,7.6,148,81,69,Black,867,33.3,32.11
Tamil Nadu,Madurai,Sugarcane,Zaid,April,6.68,131,60,89,Loamy,1077,20.0,404.97
Punjab,Ludhiana,Wheat,Kharif,April,4.11,59,99,25,Black,647,24.7,27.76
Punjab,Patiala,Corn,Annual,March,9.02,184,77,47,Clay,618,28.9,38.77
West Bengal,Howrah,Cotton,Kharif,July,6.84,159,60,80,Clay,751,21.1,44.34
West Bengal,Darjeeling,Wheat,Rabi,June,8.47,172,93,46,Red,528,22.6,32.03
Maharashtra,Nashik,Corn,Kharif,February,5.55,90,77,46,Black,407,28.8,24.61
Karnataka,Mandya,Sugarcane,Annual,July,5.86,120,39,99,Black,1094,28.9,385.28
Tamil Nadu,Madurai,Tomato,Zaid,October,7.23,182,35,27,Clay,1159,24.1,168.14
Maharashtra,Nashik,Wheat,Kharif,August,3.67,119,90,81,Loamy,551,30.8,33.17
Uttar Pradesh,Kanpur,Cotton,Rabi,May,8.48,160,55,53,Clay,1008,28.9,43.04
Maharashtra,Nagpur,Rice,Rabi,September,4.78,131,41,83,Clay,566,28.4,24.9
Andhra Pradesh,Nellore,Tomato,Zaid,October,6.5,69,93,68,Black,426,33.1,186.98
Punjab,Ludhiana,Corn,Rabi,May,2.0,188,90,68,Sandy,1042,25.5,37.56
Maharashtra,Nagpur,Rice,Rabi,October,5.0,192,46,67,Loamy,927,21.8,36.74
Maharashtra,Nashik,Cotton,Annual,November,7.64,57,42,88,Clay,628,28.3,26.81
Punjab,Patiala,Cotton,Annual,September,4.91,100,100,73,Red,614,29.8,34.49
Maharashtra,Nashik,Corn,Zaid,July,6.3,147,49,52,Black,886,25.4,33.99
Tamil Nadu,Madurai,Wheat,Zaid,May,6.83,124,54,61,Loamy,1002,25.1,30.04
Maharashtra,Pune,Cotton,Kharif,May,3.44,76,97,58,Sandy,667,32.0,26.55
Uttar Pradesh,Lucknow,Cotton,Zaid,October,7.94,167,59,36,Sandy,683,25.5,39.75
Andhra Pradesh,Guntur,Corn,Rabi,March,6.66,81,62,79,Clay,1151,32.2,33.01
Tamil Nadu,Salem,Wheat,Annual,February,8.82,190,61,63,Black,962,21.5,41.64
Uttar Pradesh,Lucknow,Sugarcane,Annual,April,3.84,133,59,99,Red,831,27.3,363.71
West Bengal,Howrah,Cotton,Rabi,June,8.91,150,38,56,Sandy,528,20.2,29.56
Punjab,Ludhiana,Tomato,Zaid,July,3.07,141,48,58,Sandy,906,31.7,155.22
Punjab,Amritsar,Corn,Zaid,November,2.39,197,53,30,Sandy,722,33.6,27.13
Maharashtra,Nashik,Rice,Kharif,October,3.46,185,46,59,Sandy,874,33.7,35.82
Karnataka,Mysore,Sugarcane,Zaid,May,7.71,131,67,48,Red,1121,26.4,357.81
Maharashtra,Nagpur,Corn,Zaid,September,6.78,68,41,36,Sandy,762,20.9,17.57
Uttar Pradesh,Varanasi,Tomato,Rabi,June,1.23,120,65,80,Loamy,474,28.1,207.41
Uttar Pradesh,Kanpur,Tomato,Zaid,August,7.85,179,52,24,Black,436,22.9,192.53
West Bengal,Darjeeling,Cotton,Rabi,November,6.22,65,52,50,Sandy,1071,30.3,23.94
West Bengal,Darjeeling,Cotton,Rabi,June,2.43,116,69,60,Clay,640,25.9,31.73
Karnataka,Mysore,Corn,Rabi,June,6.08,190,35,68,Clay,422,27.0,31.04
Punjab,Ludhiana,Sugarcane,Zaid,March,3.3,187,97,91,Red,922,20.2,509.16
West Bengal,Kolkata,Cotton,Annual,September,7.58,198,34,100,Clay,404,34.2,40.63
Andhra Pradesh,Kurnool,Corn,Kharif,January,4.59,112,61,55,Clay,1171,24.6,35.73
West Bengal,Kolkata,Tomato,Kharif,July,4.19,81,72,77,Clay,711,33.9,158.39
Karnataka,Belgaum,Wheat,Annual,August,9.51,68,75,70,Clay,926,27.3,31.55
Karnataka,Mandya,Corn,Rabi,February,7.43,129,41,24,Black,1140,24.1,24.83
West Bengal,Kolkata,Cotton,Zaid,January,1.82,160,46,24,Black,716,22.8,29.45
Uttar Pradesh,Kanpur,Tomato,Zaid,September,3.77,62,93,55,Clay,668,33.8,145.93
Andhra Pradesh,Guntur,Wheat,Kharif,June,1.55,89,50,36,Black,547,24.5,20.23
Andhra Pradesh,Guntur,Wheat,Zaid,April,9.97,113,60,28,Black,713,35.0,31.75
Punjab,Ludhiana,Rice,Kharif,September,5.46,120,60,66,Clay,718,27.7,26.3
Uttar Pradesh,Varanasi,Rice,Annual,January,7.47,102,94,25,Loamy,885,26.2,25.62
West Bengal,Kolkata,Sugarcane,Annual,March,1.57,74,45,26,Black,622,25.4,160.97
Andhra Pradesh,Nellore,Sugarcane,Zaid,October,5.36,182,43,60,Clay,860,26.3,303.69
Karnataka,Mysore,Corn,Kharif,May,6.35,122,90,57,Sandy,474,23.6,32.21
West Bengal,Kolkata,Corn,Annual,July,8.12,117,51,57,Black,1178,31.1,28.17
Punjab,Patiala,Wheat,Rabi,November,1.09,169,41,37,Sandy,649,28.4,26.8
Andhra Pradesh,Guntur,Sugarcane,Kharif,February,3.3,142,49,23,Red,413,29.3,267.25
Uttar Pradesh,Lucknow,Corn,Kharif,April,7.54,102,92,82,Black,552,33.8,40.78
Punjab,Amritsar,Corn,Rabi,January,7.79,195,56,22,Loamy,454,30.0,39.62
Uttar Pradesh,Varanasi,Cotton,Zaid,October,1.68,197,98,30,Black,1065,20.3,39.19
Uttar Pradesh,Kanpur,Wheat,Annual,September,7.77,55,54,29,Clay,637,22.3,18.29
Maharashtra,Pune,Wheat,Annual,May,3.0,86,72,95,Black,928,30.8,31.61
Punjab,Ludhiana,Cotton,Kharif,May,9.37,73,87,75,Red,974,20.7,30.68
Karnataka,Mandya,Wheat,Annual,April,8.63,79,58,29,Black,816,29.9,21.89
Karnataka,Belgaum,Wheat,Rabi,May,6.61,65,77,42,Loamy,902,26.3,30.27
Karnataka,Mysore,Wheat,Rabi,November,8.09,183,96,79,Loamy,1110,26.3,37.52
West Bengal,Darjeeling,Rice,Kharif,September,2.32,84,86,49,Black,984,34.2,24.13
Uttar Pradesh,Varanasi,Wheat,Kharif,July,4.82,121,69,71,Loamy,1108,21.1,31.87
Uttar Pradesh,Lucknow,Cotton,Rabi,August,6.41,56,39,100,Red,445,32.6,22.31
Andhra Pradesh,Nellore,Corn,Rabi,April,6.2,60,82,36,Loamy,533,22.1,24.88
Maharashtra,Pune,Cotton,Zaid,April,4.5,62,53,46,Clay,1081,25.6,27.38
West Bengal,Darjeeling,Tomato,Zaid,December,8.27,119,64,96,Sandy,1097,21.8,198.42
Punjab,Patiala,Rice,Annual,August,8.6,51,81,25,Red,1166,24.2,22.79
West Bengal,Howrah,Cotton,Rabi,March,7.66,119,89,67,Loamy,574,24.2,31.75
Andhra Pradesh,Nellore,Corn,Zaid,October,3.79,74,76,77,Clay,1148,24.8,34.98
Uttar Pradesh,Lucknow,Wheat,Rabi,March,6.52,126,89,21,Red,566,29.1,24.64
Karnataka,Mysore,Corn,Annual,October,9.39,59,57,69,Sandy,401,20.9,27.81
Uttar Pradesh,Lucknow,Tomato,Kharif,March,1.3,149,100,58,Sandy,625,23.4,196.5
Maharashtra,Nagpur,Cotton,Rabi,January,1.09,141,80,38,Sandy,948,22.1,32.5
West Bengal,Kolkata,Rice,Rabi,November,5.06,155,44,92,Clay,1052,31.9,32.57
West Bengal,Howrah,Corn,Kharif,January,4.52,188,86,31,Loamy,723,31.8,34.7
Punjab,Patiala,Wheat,Annual,January,7.81,153,57,53,Black,455,30.7,38.64
Maharashtra,Nagpur,Cotton,Rabi,November,1.35,91,60,90,Red,611,24.0,30.78
Uttar Pradesh,Kanpur,Sugarcane,Annual,May,6.12,84,58,51,Loamy,1056,22.4,237.0
Andhra Pradesh,Kurnool,Sugarcane,Annual,February,1.4,173,56,92,Black,1086,27.2,406.26
Uttar Pradesh,Varanasi,Corn,Annual,April,4.72,163,30,69,Black,1092,26.6,33.88
West Bengal,Darjeeling,Sugarcane,Annual,January,4.64,81,37,32,Clay,815,25.9,231.84
Uttar Pradesh,Kanpur,Wheat,Annual,September,8.18,165,70,85,Red,982,20.9,37.52
Uttar Pradesh,Kanpur,Sugarcane,Annual,June,9.05,181,70,61,Black,650,26.1,422.08
West Bengal,Darjeeling,Wheat,Zaid,February,8.75,59,71,66,Black,714,23.0,29.77
Maharashtra,Nagpur,Rice,Rabi,January,9.6,142,76,96,Red,1093,34.5,43.16
Tamil Nadu,Salem,Cotton,Kharif,March,2.8,116,86,87,Sandy,1101,31.5,35.71
Uttar Pradesh,Varanasi,Sugarcane,Kharif,April,9.61,141,38,43,Sandy,904,29.3,320.45
Uttar Pradesh,Lucknow,Wheat,Zaid,October,4.15,127,36,46,Clay,573,34.3,22.64
